salary_type,term,comparison,adj.p.value,flag
Mid_Career_25th_Percentile_Salary,Region,Western-Southern,0.9379583133765521,Cannot Reject the NULL Hypothesis
Mid_Career_50th_Percentile_Salary,Region,Midwestern-California,2.4992660941802747e-5,***
Mid_Career_50th_Percentile_Salary,Region,Northeastern-California,0.9652641054658291,Cannot Reject the NULL Hypothesis
Mid_Career_50th_Percentile_Salary,Region,Southern-California,0.0010309085872473034,**
Mid_Career_50th_Percentile_Salary,Region,Western-California,2.8388130838397085e-4,***
Mid_Career_50th_Percentile_Salary,Region,Northeastern-Midwestern,4.8775428140857e-11,***
Mid_Career_50th_Percentile_Salary,Region,Southern-Midwestern,0.7469915725061731,Cannot Reject the NULL Hypothesis
Mid_Career_50th_Percentile_Salary,Region,Western-Midwestern,0.9996818183832492,Cannot Reject the NULL Hypothesis
Mid_Career_50th_Percentile_Salary,Region,Southern-Northeastern,3.349467925239935e-8,***
Mid_Career_50th_Percentile_Salary,Region,Western-Northeastern,4.402654685264906e-8,***
Mid_Career_50th_Percentile_Salary,Region,Western-Southern,0.9142965075769818,Cannot Reject the NULL Hypothesis
Mid_Career_75th_Percentile_Salary,Region,Midwestern-California,0.0016208587321937529,**
Mid_Career_75th_Percentile_Salary,Region,Northeastern-California,0.23598857505693938,Cannot Reject the NULL Hypothesis
Mid_Career_75th_Percentile_Salary,Region,Southern-California,0.015117931752890001,*
Mid_Career_75th_Percentile_Salary,Region,Western-California,0.002874102884034113,**
Mid_Career_75th_Percentile_Salary,Region,Northeastern-Midwestern,3.789857316860434e-12,***
Mid_Career_75th_Percentile_Salary,Region,Southern-Midwestern,0.894091425337155,Cannot Reject the NULL Hypothesis
Mid_Career_75th_Percentile_Salary,Region,Western-Midwestern,0.9997165377392698,Cannot Reject the NULL Hypothesis
Mid_Career_75th_Percentile_Salary,Region,Southern-Northeastern,3.600331144326674e-10,***
Mid_Career_75th_Percentile_Salary,Region,Western-Northeastern,4.959218591338299e-10,***
Mid_Career_75th_Percentile_Salary,Region,Western-Southern,0.863175383713923,Cannot Reject the NULL Hypothesis
Mid_Career_90th_Percentile_Salary,Region,Midwestern-California,0.21806983302620597,Cannot Reject the NULL Hypothesis
Mid_Career_90th_Percentile_Salary,Region,Northeastern-California,0.002721458822833811,**
Mid_Career_90th_Percentile_Salary,Region,Southern-California,0.46920418097407246,Cannot Reject the NULL Hypothesis
Mid_Career_90th_Percentile_Salary,Region,Western-California,0.21842224186264148,Cannot Reject the NULL Hypothesis
Mid_Career_90th_Percentile_Salary,Region,Northeastern-Midwestern,2.981725977235783e-12,***
Mid_Career_90th_Percentile_Salary,Region,Southern-Midwestern,0.9603622832201171,Cannot Reject the NULL Hypothesis
Mid_Career_90th_Percentile_Salary,Region,Western-Midwestern,0.9990184371881097,Cannot Reject the NULL Hypothesis
Mid_Career_90th_Percentile_Salary,Region,Southern-Northeastern,5.592604157556025e-11,***
Mid_Career_90th_Percentile_Salary,Region,Western-Northeastern,8.677115692634629e-10,***
Mid_Career_90th_Percentile_Salary,Region,Western-Southern,0.9210863933047547,Cannot Reject the NULL Hypothesis
