"School_Name","Region","School_Type","Starting_Median_Salary","Mid_Career_Median_Salary","Mid_Career_10th_Percentile_Salary","Mid_Career_25th_Percentile_Salary","Mid_Career_75th_Percentile_Salary","Mid_Career_90th_Percentile_Salary"
"University of North Carolina at Charlotte (UNCC)","Southern","State",43100,74000,38200,53200,99500,133000
"Georgia State University","Southern","State",41800,74000,43000,55300,99900,145000
"Florida State University (FSU)","Southern","Party",42100,73000,39600,52800,107000,156000
"Florida State University (FSU)","Southern","State",42100,73000,39600,52800,107000,156000
"University of Texas at El Paso (UTEP)","Southern","State",43400,72100,37700,50400,99500,133000
"University of Central Florida (UCF)","Southern","State",42600,71700,39500,51500,98400,125000
"University of South Carolina","Southern","State",40000,71700,36300,49900,98400,131000
"Florida Atlantic University (FAU)","Southern","State",42600,71100,40700,53000,99500,137000
"University of South Florida (USF)","Southern","State",41100,71100,39600,51500,98100,131000
"University of Texas at San Antonio (UTSA)","Southern","State",42500,70700,39100,49800,92700,121000
"University of Alabama at Birmingham (UAB)","Southern","State",39200,70100,43000,53400,91400,125000
"University of Memphis (U of M)","Southern","State",41400,69700,36100,49100,93500,127000
"Appalachian State University","Southern","State",40400,69100,37200,50400,90800,115000
"Virginia Commonwealth University (VCU)","Southern","State",42000,68400,37400,51900,1e+05,123000
"East Carolina University (ECU)","Southern","State",40200,67500,38400,52000,98700,151000
"Western Carolina University","Southern","State",36900,66600,39000,49500,94400,133000
"University of North Carolina at Wilmington (UNCW)","Southern","State",37500,64400,32100,46600,97100,129000
"Arkansas State University (ASU)","Southern","State",38700,63300,33600,45300,83900,118000
"Tarleton State University (TSU)","Southern","State",40800,62400,32100,47400,80400,126000
"Morehead State University","Southern","State",34800,60600,34300,46500,72000,91300
"Austin Peay State University","Southern","State",37700,59200,32200,40500,73900,96200
"Dartmouth College","Northeastern","Ivy League",58000,134000,63100,90200,234000,321000
"Princeton University","Northeastern","Ivy League",66500,131000,68900,1e+05,190000,261000
"Massachusetts Institute of Technology (MIT)","Northeastern","Engineering",72200,126000,76800,99200,168000,220000
"Yale University","Northeastern","Ivy League",59100,126000,58000,80600,198000,326000
"Harvard University","Northeastern","Ivy League",63400,124000,54800,86200,179000,288000
"University of Pennsylvania","Northeastern","Ivy League",60900,120000,55900,79200,192000,282000
"Polytechnic University of New York, Brooklyn","Northeastern","Engineering",62400,114000,66800,94300,143000,190000
"Cooper Union","Northeastern","Engineering",62200,114000,NA,80200,142000,NA
"Worcester Polytechnic Institute (WPI)","Northeastern","Engineering",61000,114000,80000,91200,137000,180000
"Carnegie Mellon University (CMU)","Northeastern","Engineering",61800,111000,63300,80100,150000,209000
"Rensselaer Polytechnic Institute (RPI)","Northeastern","Engineering",61100,110000,71600,85500,140000,182000
"Cornell University","Northeastern","Ivy League",60300,110000,56800,79800,160000,210000
"Bucknell University","Northeastern","Liberal Arts",54100,110000,62800,80600,156000,251000
"Brown University","Northeastern","Ivy League",56200,109000,55400,74400,159000,228000
"Colgate University","Northeastern","Liberal Arts",52800,108000,60000,76700,167000,265000
"Columbia University","Northeastern","Ivy League",59400,107000,50300,71900,161000,241000
"Amherst College","Northeastern","Liberal Arts",54500,107000,NA,84900,162000,NA
"Lafayette College","Northeastern","Liberal Arts",53900,107000,70600,79300,144000,204000
"Bowdoin College","Northeastern","Liberal Arts",48100,107000,NA,74600,146000,NA
"College of the Holy Cross","Northeastern","Liberal Arts",50200,106000,NA,65600,143000,NA
"Stevens Institute of Technology","Northeastern","Engineering",60600,105000,68700,81900,138000,185000
"Swarthmore College","Northeastern","Liberal Arts",49700,104000,NA,67200,167000,NA
"Williams College","Northeastern","Liberal Arts",51700,102000,NA,76400,143000,NA
"Wesleyan University (Middletown, Connecticut)","Northeastern","Liberal Arts",46500,97900,42000,62500,126000,215000
"Wentworth Institute of Technology","Northeastern","Engineering",53000,96700,55200,74000,117000,153000
"Bates College","Northeastern","Liberal Arts",47300,96500,NA,60700,162000,NA
"Binghamton University","Northeastern","State",53600,95900,50900,71200,146000,201000
"Union College","Northeastern","Liberal Arts",47200,95800,48700,75200,135000,230000
"Vassar College","Northeastern","Liberal Arts",46000,94600,NA,60600,123000,NA
"Middlebury College","Northeastern","Liberal Arts",47700,94200,NA,69100,129000,NA
"Mount Holyoke College","Northeastern","Liberal Arts",42400,94200,NA,57100,131000,NA
"Stony Brook University","Northeastern","State",49500,93000,47200,67100,129000,181000
"Franklin and Marshall College","Northeastern","Liberal Arts",49100,92800,NA,55800,185000,NA
"State University of New York (SUNY) at Albany","Northeastern","Party",44500,92200,47000,63100,135000,209000
"State University of New York (SUNY) at Albany","Northeastern","State",44500,92200,47000,63100,135000,209000
"Rutgers University","Northeastern","State",50300,91800,48100,65100,128000,176000
"University of Connecticut (UConn)","Northeastern","State",48000,88800,46100,66400,120000,162000
"University of Massachusetts (UMass) - Amherst","Northeastern","State",46600,88200,43100,61300,122000,168000
"University of Massachusetts (UMass) - Lowell","Northeastern","State",45400,86600,50900,65000,113000,158000
"Colby College","Northeastern","Liberal Arts",46400,85800,NA,63500,129000,NA
"Gettysburg College","Northeastern","Liberal Arts",44700,85800,NA,66300,132000,NA
"Pennsylvania State University (PSU)","Northeastern","Party",49900,85700,46300,62000,117000,160000
"Pennsylvania State University (PSU)","Northeastern","State",49900,85700,46300,62000,117000,160000
"University of Rhode Island (URI)","Northeastern","State",43900,85300,45400,60100,112000,157000
"Siena College","Northeastern","Liberal Arts",45500,85200,38700,58400,129000,189000
"Rochester Institute of Technology (RIT)","Northeastern","Engineering",48900,84600,45000,62100,112000,159000
"State University of New York (SUNY) at Farmingdale","Northeastern","State",47300,84200,50200,59800,110000,162000
"Smith College","Northeastern","Liberal Arts",44000,83900,45100,59800,129000,184000
"Hamilton College","Northeastern","Liberal Arts",49200,83700,NA,51900,123000,NA
"Wellesley College","Northeastern","Liberal Arts",42800,83500,NA,58600,125000,NA
"University of Vermont (UVM)","Northeastern","State",44800,82700,44700,58000,122000,194000
"State University of New York (SUNY) at Buffalo","Northeastern","State",46200,81700,45900,61400,110000,147000
"State University of New York (SUNY) at Geneseo","Northeastern","State",42300,81300,39300,47600,117000,173000
"Ursinus College","Northeastern","Liberal Arts",42100,80000,35600,54300,1e+05,160000
"Juniata College","Northeastern","Liberal Arts",41800,78900,NA,67200,110000,NA
"University of New Hampshire (UNH)","Northeastern","Party",41800,78300,41700,56400,114000,147000
"University of New Hampshire (UNH)","Northeastern","State",41800,78300,41700,56400,114000,147000
"University of Massachusetts (UMass) - Boston","Northeastern","State",45600,78200,36300,53800,109000,151000
"State University of New York (SUNY) at Oswego","Northeastern","State",38000,77800,40400,53000,115000,169000
"University of Massachusetts (UMass) - Dartmouth","Northeastern","State",43200,77700,43300,56200,107000,132000
"State University of New York (SUNY) at Oneonta","Northeastern","State",37500,76700,40000,54300,97700,155000
"State University of New York (SUNY) at Plattsburgh","Northeastern","State",40800,76200,38400,54100,105000,136000
"Skidmore College","Northeastern","Liberal Arts",41600,74600,NA,42800,147000,NA
"Moravian College","Northeastern","Liberal Arts",42500,74400,NA,56700,94900,NA
"Penn State - Harrisburg","Northeastern","State",45700,74000,44000,53100,104000,150000
"Fitchburg State College","Northeastern","State",42400,72600,43300,56100,99600,151000
"University Of Maine","Northeastern","State",41200,72100,41700,55600,99300,141000
"State University of New York (SUNY) at Potsdam","Northeastern","State",38000,70300,35100,51200,1e+05,179000
"State University of New York (SUNY) at Fredonia","Northeastern","State",37800,66200,32800,44200,93300,181000
"University of Southern Maine","Northeastern","State",39400,63600,40400,47900,85700,117000
